QualifiedName,ModifiedName,CBO,DIT,WMC,LCOM,LOC
org.apache.pdfbox.contentstream.PDFStreamEngine,org/apache/pdfbox/contentstream/PDFStreamEngine.java-2.0.31,32,0,82,0.825,2
org.apache.pdfbox.contentstream.operator.DrawObject,org/apache/pdfbox/contentstream/operator/DrawObject.java-2.0.31,1,1,0,0,38
org.apache.pdfbox.contentstream.operator.MissingOperandException,org/apache/pdfbox/contentstream/operator/MissingOperandException.java-2.0.31,0,0,0,0,55
org.apache.pdfbox.contentstream.operator.Operator,org/apache/pdfbox/contentstream/operator/Operator.java-2.0.31,1,0,4,0.667,64
org.apache.pdfbox.contentstream.operator.OperatorName,org/apache/pdfbox/contentstream/operator/OperatorName.java-2.0.31,0,0,1,0,170
org.apache.pdfbox.contentstream.operator.OperatorProcessor,org/apache/pdfbox/contentstream/operator/OperatorProcessor.java-2.0.31,1,0,3,0,4
org.apache.pdfbox.contentstream.operator.color.SetColor,org/apache/pdfbox/contentstream/operator/color/SetColor.java-2.0.31,2,1,3,0,10
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingColor,org/apache/pdfbox/contentstream/operator/color/SetNonStrokingColor.java-2.0.31,4,2,3,0,10
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingColorN,org/apache/pdfbox/contentstream/operator/color/SetNonStrokingColorN.java-2.0.31,0,3,0,0,10
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingColorSpace,org/apache/pdfbox/contentstream/operator/color/SetNonStrokingColorSpace.java-2.0.31,0,1,0,0,10
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceCMYKColor,org/apache/pdfbox/contentstream/operator/color/SetNonStrokingDeviceCMYKColor.java-2.0.31,0,3,0,0,10
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceGrayColor,org/apache/pdfbox/contentstream/operator/color/SetNonStrokingDeviceGrayColor.java-2.0.31,0,3,0,0,12
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceRGBColor,org/apache/pdfbox/contentstream/operator/color/SetNonStrokingDeviceRGBColor.java-2.0.31,0,3,0,0,13
org.apache.pdfbox.contentstream.operator.color.SetStrokingColor,org/apache/pdfbox/contentstream/operator/color/SetStrokingColor.java-2.0.31,4,2,3,0,18
org.apache.pdfbox.contentstream.operator.color.SetStrokingColorN,org/apache/pdfbox/contentstream/operator/color/SetStrokingColorN.java-2.0.31,0,3,0,0,19
org.apache.pdfbox.contentstream.operator.color.SetStrokingColorSpace,org/apache/pdfbox/contentstream/operator/color/SetStrokingColorSpace.java-2.0.31,0,1,0,0,20
org.apache.pdfbox.contentstream.operator.color.SetStrokingDeviceCMYKColor,org/apache/pdfbox/contentstream/operator/color/SetStrokingDeviceCMYKColor.java-2.0.31,0,3,0,0,27
org.apache.pdfbox.contentstream.operator.color.SetStrokingDeviceGrayColor,org/apache/pdfbox/contentstream/operator/color/SetStrokingDeviceGrayColor.java-2.0.31,0,3,0,0,185
org.apache.pdfbox.contentstream.operator.color.SetStrokingDeviceRGBColor,org/apache/pdfbox/contentstream/operator/color/SetStrokingDeviceRGBColor.java-2.0.31,0,3,0,0,2
org.apache.pdfbox.contentstream.operator.graphics.AppendRectangleToPath,org/apache/pdfbox/contentstream/operator/graphics/AppendRectangleToPath.java-2.0.31,0,2,0,0,8
org.apache.pdfbox.contentstream.operator.graphics.BeginInlineImage,org/apache/pdfbox/contentstream/operator/graphics/BeginInlineImage.java-2.0.31,0,2,0,0,20
org.apache.pdfbox.contentstream.operator.graphics.ClipEvenOddRule,org/apache/pdfbox/contentstream/operator/graphics/ClipEvenOddRule.java-2.0.31,0,2,0,0,21
org.apache.pdfbox.contentstream.operator.graphics.ClipNonZeroRule,org/apache/pdfbox/contentstream/operator/graphics/ClipNonZeroRule.java-2.0.31,0,2,0,0,26
org.apache.pdfbox.contentstream.operator.graphics.CloseAndStrokePath,org/apache/pdfbox/contentstream/operator/graphics/CloseAndStrokePath.java-2.0.31,0,2,0,0,26
org.apache.pdfbox.contentstream.operator.graphics.CloseFillEvenOddAndStrokePath,org/apache/pdfbox/contentstream/operator/graphics/CloseFillEvenOddAndStrokePath.java-2.0.31,0,2,0,0,74
org.apache.pdfbox.contentstream.operator.graphics.CloseFillNonZeroAndStrokePath,org/apache/pdfbox/contentstream/operator/graphics/CloseFillNonZeroAndStrokePath.java-2.0.31,0,2,0,0,188
org.apache.pdfbox.contentstream.operator.graphics.ClosePath,org/apache/pdfbox/contentstream/operator/graphics/ClosePath.java-2.0.31,1,2,0,0,74
org.apache.pdfbox.contentstream.operator.graphics.CurveTo,org/apache/pdfbox/contentstream/operator/graphics/CurveTo.java-2.0.31,1,2,0,0,114
org.apache.pdfbox.contentstream.operator.graphics.CurveToReplicateFinalPoint,org/apache/pdfbox/contentstream/operator/graphics/CurveToReplicateFinalPoint.java-2.0.31,0,2,0,0,190
org.apache.pdfbox.contentstream.operator.graphics.CurveToReplicateInitialPoint,org/apache/pdfbox/contentstream/operator/graphics/CurveToReplicateInitialPoint.java-2.0.31,1,2,0,0,4
org.apache.pdfbox.contentstream.operator.graphics.DrawObject,org/apache/pdfbox/contentstream/operator/graphics/DrawObject.java-2.0.31,1,2,0,0,5
org.apache.pdfbox.contentstream.operator.graphics.EndPath,org/apache/pdfbox/contentstream/operator/graphics/EndPath.java-2.0.31,0,2,0,0,74
org.apache.pdfbox.contentstream.operator.graphics.FillEvenOddAndStrokePath,org/apache/pdfbox/contentstream/operator/graphics/FillEvenOddAndStrokePath.java-2.0.31,0,2,0,0,107
org.apache.pdfbox.contentstream.operator.graphics.FillEvenOddRule,org/apache/pdfbox/contentstream/operator/graphics/FillEvenOddRule.java-2.0.31,0,2,0,0,220
org.apache.pdfbox.contentstream.operator.graphics.FillNonZeroAndStrokePath,org/apache/pdfbox/contentstream/operator/graphics/FillNonZeroAndStrokePath.java-2.0.31,0,2,0,0,8
org.apache.pdfbox.contentstream.operator.graphics.FillNonZeroRule,org/apache/pdfbox/contentstream/operator/graphics/FillNonZeroRule.java-2.0.31,0,2,0,0,9
org.apache.pdfbox.contentstream.operator.graphics.GraphicsOperatorProcessor,org/apache/pdfbox/contentstream/operator/graphics/GraphicsOperatorProcessor.java-2.0.31,2,1,1,0,9
org.apache.pdfbox.contentstream.operator.graphics.LegacyFillNonZeroRule,org/apache/pdfbox/contentstream/operator/graphics/LegacyFillNonZeroRule.java-2.0.31,0,3,0,0,10
org.apache.pdfbox.contentstream.operator.graphics.LineTo,org/apache/pdfbox/contentstream/operator/graphics/LineTo.java-2.0.31,1,2,0,0,11
org.apache.pdfbox.contentstream.operator.graphics.MoveTo,org/apache/pdfbox/contentstream/operator/graphics/MoveTo.java-2.0.31,0,2,0,0,12
org.apache.pdfbox.contentstream.operator.graphics.ShadingFill,org/apache/pdfbox/contentstream/operator/graphics/ShadingFill.java-2.0.31,0,2,0,0,13
org.apache.pdfbox.contentstream.operator.graphics.StrokePath,org/apache/pdfbox/contentstream/operator/graphics/StrokePath.java-2.0.31,0,2,0,0,13
org.apache.pdfbox.contentstream.operator.markedcontent.BeginMarkedContentSequence,org/apache/pdfbox/contentstream/operator/markedcontent/BeginMarkedContentSequence.java-2.0.31,0,1,0,0,13
org.apache.pdfbox.contentstream.operator.markedcontent.BeginMarkedContentSequenceWithProperties,org/apache/pdfbox/contentstream/operator/markedcontent/BeginMarkedContentSequenceWithProperties.java-2.0.31,0,1,0,0,15
org.apache.pdfbox.contentstream.operator.markedcontent.DrawObject,org/apache/pdfbox/contentstream/operator/markedcontent/DrawObject.java-2.0.31,1,1,0,0,15
org.apache.pdfbox.contentstream.operator.markedcontent.EndMarkedContentSequence,org/apache/pdfbox/contentstream/operator/markedcontent/EndMarkedContentSequence.java-2.0.31,0,1,0,0,16
org.apache.pdfbox.contentstream.operator.state.Concatenate,org/apache/pdfbox/contentstream/operator/state/Concatenate.java-2.0.31,0,1,0,0,22
org.apache.pdfbox.contentstream.operator.state.EmptyGraphicsStackException,org/apache/pdfbox/contentstream/operator/state/EmptyGraphicsStackException.java-2.0.31,0,0,1,0,24
