Path,CBO,DIT,WMC,LOC,LCOM,Buggy
fontbox/src/main/java/org/apache/fontbox/ttf/WGL4Names.java-2.0.26,0,0,1,52,0.0,No
fontbox/src/main/java/org/apache/fontbox/type1/DamagedFontException.java-2.0.26,0,0,0,3,0.0,No
fontbox/src/main/java/org/apache/fontbox/type1/Token.java-2.0.26,0,0,7,49,1.214,Yes
fontbox/src/main/java/org/apache/fontbox/type1/Type1CharStringReader.java-2.0.26,0,1,1,2,0.0,No
fontbox/src/main/java/org/apache/fontbox/type1/Type1Font.java-2.0.26,4,0,20,153,0.992,Yes
fontbox/src/main/java/org/apache/fontbox/type1/Type1Lexer.java-2.0.26,4,0,71,223,0.8,Yes
fontbox/src/main/java/org/apache/fontbox/type1/Type1Parser.java-2.0.26,6,0,96,447,0.656,Yes
fontbox/src/main/java/org/apache/fontbox/util/BoundingBox.java-2.0.26,0,0,13,43,0.667,Yes
fontbox/src/main/java/org/apache/fontbox/util/Charsets.java-2.0.26,0,0,1,7,0.0,No
fontbox/src/main/java/org/apache/fontbox/util/autodetect/FontDirFinder.java-2.0.26,0,1,1,2,0.0,Yes
fontbox/src/main/java/org/apache/fontbox/util/autodetect/FontFileFinder.java-2.0.26,6,0,5,50,0.0,Yes
fontbox/src/main/java/org/apache/fontbox/util/autodetect/MacFontDirFinder.java-2.0.26,0,1,0,8,0.0,Yes
fontbox/src/main/java/org/apache/fontbox/util/autodetect/NativeFontDirFinder.java-2.0.26,0,0,0,14,0.0,Yes
fontbox/src/main/java/org/apache/fontbox/util/autodetect/OS400FontDirFinder.java-2.0.26,0,1,0,6,0.0,No
fontbox/src/main/java/org/apache/fontbox/util/autodetect/UnixFontDirFinder.java-2.0.26,0,1,0,10,0.0,Yes
fontbox/src/main/java/org/apache/fontbox/util/autodetect/WindowsFontDirFinder.java-2.0.26,0,0,0,63,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/PDContentStream.java-2.0.26,3,1,4,5,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/PDFGraphicsStreamEngine.java-2.0.26,68,1,13,87,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/PDFStreamEngine.java-2.0.26,32,0,82,382,0.844,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/DrawObject.java-2.0.26,1,1,0,28,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/MissingOperandException.java-2.0.26,0,0,0,3,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/Operator.java-2.0.26,1,0,4,34,0.667,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/OperatorName.java-2.0.26,0,0,1,75,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/OperatorProcessor.java-2.0.26,1,0,3,14,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetColor.java-2.0.26,2,1,3,15,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetNonStrokingColor.java-2.0.26,4,2,3,13,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetNonStrokingColorN.java-2.0.26,0,3,0,4,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetNonStrokingColorSpace.java-2.0.26,0,1,0,14,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetNonStrokingDeviceCMYKColor.java-2.0.26,0,3,0,9,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetNonStrokingDeviceGrayColor.java-2.0.26,0,3,0,9,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetNonStrokingDeviceRGBColor.java-2.0.26,0,3,0,9,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetStrokingColor.java-2.0.26,4,2,3,13,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetStrokingColorN.java-2.0.26,0,3,0,4,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetStrokingColorSpace.java-2.0.26,0,1,0,14,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetStrokingDeviceCMYKColor.java-2.0.26,0,3,0,9,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetStrokingDeviceGrayColor.java-2.0.26,0,3,0,8,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/color/SetStrokingDeviceRGBColor.java-2.0.26,0,3,0,8,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/AppendRectangleToPath.java-2.0.26,0,2,0,23,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/BeginInlineImage.java-2.0.26,0,2,0,12,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/ClipEvenOddRule.java-2.0.26,0,2,0,7,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/ClipNonZeroRule.java-2.0.26,0,2,0,7,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/CloseAndStrokePath.java-2.0.26,0,2,0,8,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/CloseFillEvenOddAndStrokePath.java-2.0.26,0,2,0,8,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/CloseFillNonZeroAndStrokePath.java-2.0.26,0,2,0,8,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/ClosePath.java-2.0.26,1,2,0,11,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/CurveTo.java-2.0.26,1,2,0,27,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/CurveToReplicateFinalPoint.java-2.0.26,0,2,0,19,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/CurveToReplicateInitialPoint.java-2.0.26,1,2,0,25,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/DrawObject.java-2.0.26,1,2,0,31,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/EndPath.java-2.0.26,0,2,0,7,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/FillEvenOddAndStrokePath.java-2.0.26,0,2,0,7,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/FillEvenOddRule.java-2.0.26,0,2,0,7,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/FillNonZeroAndStrokePath.java-2.0.26,0,2,0,7,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/FillNonZeroRule.java-2.0.26,0,2,0,7,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/GraphicsOperatorProcessor.java-2.0.26,2,1,1,6,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/LegacyFillNonZeroRule.java-2.0.26,0,3,0,4,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/LineTo.java-2.0.26,1,2,0,23,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/MoveTo.java-2.0.26,0,2,0,18,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/ShadingFill.java-2.0.26,0,2,0,9,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/graphics/StrokePath.java-2.0.26,0,2,0,7,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/markedcontent/BeginMarkedContentSequence.java-2.0.26,0,1,0,11,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/markedcontent/BeginMarkedContentSequenceWithProperties.java-2.0.26,0,1,0,14,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/markedcontent/DrawObject.java-2.0.26,1,1,0,27,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/markedcontent/EndMarkedContentSequence.java-2.0.26,0,1,0,7,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/state/Concatenate.java-2.0.26,0,1,0,19,0.0,Yes
